index,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
194,0.0,0.0,0.001,0.0,0.028,0.0,0.31,0.0,0.275,0.0,0.055,0.01,0.0,0.0,0.0,0.32,0.0
195,0.018,0.126,0.009,0.041,0.0,0.017,0.022,0.01,0.089,0.002,0.11,0.0,0.002,0.002,0.0,0.539,0.014
196,0.461,0.0,0.0,0.018,0.296,0.012,0.0,0.0,0.039,0.0,0.053,0.0,0.031,0.004,0.0,0.086,0.001
197,0.03,0.126,0.047,0.001,0.001,0.002,0.008,0.0,0.24,0.005,0.0,0.499,0.008,0.0,0.034,0.0,0.0
198,0.0,0.043,0.0,0.685,0.004,0.0,0.005,0.0,0.033,0.007,0.048,0.001,0.17,0.0,0.0,0.0,0.002
199,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.763,0.0,0.093,0.0,0.0,0.0,0.0,0.006,0.005
200,0.001,0.031,0.001,0.452,0.04,0.001,0.001,0.005,0.038,0.011,0.037,0.258,0.052,0.021,0.0,0.0,0.051
201,0.0,0.167,0.0,0.005,0.0,0.203,0.144,0.0,0.007,0.0,0.0,0.004,0.0,0.0,0.006,0.463,0.0
202,0.129,0.001,0.002,0.012,0.0,0.001,0.227,0.0,0.058,0.0,0.263,0.002,0.001,0.0,0.027,0.271,0.006
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.942,0.001,0.0,0.0,0.051,0.0
204,0.112,0.047,0.001,0.061,0.093,0.015,0.117,0.001,0.001,0.015,0.294,0.146,0.0,0.001,0.0,0.0,0.097
205,0.0,0.768,0.0,0.051,0.04,0.004,0.0,0.0,0.003,0.0,0.022,0.001,0.003,0.0,0.0,0.0,0.106
206,0.0,0.598,0.049,0.0,0.17,0.051,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.015,0.006,0.0,0.0
207,0.025,0.486,0.0,0.07,0.0,0.0,0.0,0.001,0.0,0.0,0.012,0.0,0.0,0.0,0.013,0.393,0.0
208,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.669,0.0,0.0,0.256,0.0,0.075,0.0,0.0,0.0
209,0.028,0.005,0.001,0.022,0.008,0.0,0.0,0.001,0.0,0.0,0.003,0.407,0.156,0.0,0.0,0.0,0.369
210,0.49,0.275,0.0,0.225,0.0,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0
211,0.011,0.133,0.021,0.628,0.043,0.004,0.002,0.0,0.094,0.002,0.001,0.032,0.006,0.002,0.0,0.001,0.019
212,0.276,0.0,0.0,0.053,0.0,0.084,0.001,0.0,0.093,0.0,0.329,0.124,0.0,0.001,0.0,0.025,0.015
213,0.022,0.002,0.0,0.001,0.233,0.0,0.003,0.007,0.125,0.005,0.0,0.092,0.001,0.001,0.006,0.0,0.502
214,0.041,0.001,0.0,0.01,0.565,0.006,0.05,0.0,0.022,0.002,0.153,0.01,0.037,0.0,0.016,0.087,0.0
215,0.0,0.008,0.0,0.068,0.108,0.0,0.346,0.027,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.413,0.0,0.023,0.0,0.0,0.005,0.002,0.003,0.312,0.0,0.004,0.0,0.0,0.0,0.008,0.009,0.222
217,0.656,0.017,0.0,0.0,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.001
218,0.49,0.0,0.013,0.123,0.015,0.084,0.106,0.001,0.01,0.001,0.0,0.024,0.001,0.069,0.01,0.017,0.036
219,0.033,0.0,0.0,0.51,0.016,0.0,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.088,0.003
220,0.0,0.255,0.0,0.07,0.001,0.07,0.576,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027
221,0.058,0.02,0.0,0.003,0.029,0.0,0.149,0.025,0.466,0.0,0.006,0.016,0.0,0.043,0.0,0.005,0.18
222,0.0,0.861,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.014,0.0,0.044,0.011,0.0,0.067
223,0.0,0.0,0.011,0.618,0.002,0.0,0.0,0.0,0.0,0.016,0.0,0.128,0.0,0.0,0.0,0.0,0.226
224,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.008,0.151,0.0,0.0,0.005,0.163,0.0,0.007,0.44,0.17
225,0.002,0.023,0.0,0.032,0.401,0.225,0.0,0.003,0.004,0.001,0.101,0.003,0.102,0.059,0.005,0.034,0.006
226,0.0,0.241,0.0,0.457,0.0,0.0,0.0,0.013,0.226,0.0,0.006,0.04,0.016,0.0,0.0,0.0,0.0
227,0.124,0.072,0.003,0.148,0.293,0.003,0.003,0.0,0.0,0.001,0.0,0.189,0.144,0.0,0.006,0.006,0.009
228,0.0,0.0,0.003,0.0,0.0,0.103,0.036,0.014,0.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077
229,0.0,0.0,0.0,0.0,0.0,0.139,0.07,0.0,0.0,0.0,0.0,0.539,0.0,0.004,0.0,0.248,0.0
230,0.306,0.0,0.0,0.643,0.0,0.0,0.0,0.0,0.012,0.005,0.0,0.001,0.021,0.011,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.345,0.049,0.006,0.002,0.201,0.0
232,0.003,0.003,0.0,0.0,0.0,0.101,0.444,0.0,0.0,0.0,0.235,0.107,0.004,0.0,0.099,0.0,0.003
233,0.24,0.2,0.0,0.451,0.0,0.0,0.038,0.048,0.0,0.0,0.006,0.0,0.0,0.0,0.008,0.0,0.008
234,0.092,0.0,0.0,0.001,0.039,0.006,0.311,0.0,0.022,0.0,0.024,0.135,0.004,0.0,0.002,0.365,0.0
235,0.0,0.175,0.014,0.62,0.0,0.079,0.001,0.0,0.001,0.002,0.0,0.036,0.002,0.0,0.07,0.0,0.0
236,0.191,0.045,0.0,0.007,0.061,0.176,0.434,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0
237,0.819,0.0,0.0,0.062,0.001,0.0,0.001,0.0,0.0,0.0,0.032,0.006,0.0,0.067,0.009,0.0,0.003
238,0.004,0.003,0.0,0.944,0.0,0.0,0.0,0.0,0.0,0.012,0.033,0.0,0.0,0.0,0.0,0.003,0.0
239,0.341,0.024,0.0,0.017,0.001,0.05,0.004,0.0,0.112,0.0,0.008,0.0,0.0,0.0,0.001,0.416,0.025
240,0.0,0.0,0.001,0.014,0.001,0.0,0.003,0.015,0.0,0.009,0.0,0.789,0.003,0.051,0.001,0.113,0.0
241,0.0,0.0,0.0,0.0,0.0,0.026,0.666,0.023,0.003,0.0,0.247,0.0,0.009,0.001,0.007,0.0,0.018
242,0.0,0.0,0.022,0.169,0.0,0.081,0.002,0.0,0.008,0.01,0.0,0.0,0.0,0.0,0.008,0.34,0.36
243,0.533,0.006,0.001,0.013,0.0,0.0,0.0,0.004,0.088,0.0,0.0,0.0,0.005,0.0,0.023,0.0,0.326
244,0.096,0.0,0.0,0.228,0.0,0.004,0.0,0.034,0.403,0.0,0.0,0.074,0.021,0.0,0.0,0.054,0.085
245,0.0,0.09,0.0,0.024,0.036,0.001,0.002,0.0,0.086,0.0,0.0,0.757,0.0,0.002,0.0,0.0,0.0
246,0.193,0.16,0.0,0.026,0.478,0.002,0.017,0.033,0.083,0.0,0.0,0.0,0.0,0.007,0.0,0.001,0.0
247,0.0,0.144,0.0,0.072,0.201,0.0,0.288,0.021,0.002,0.003,0.175,0.093,0.0,0.0,0.0,0.0,0.0
248,0.0,0.0,0.009,0.011,0.0,0.0,0.293,0.001,0.332,0.008,0.149,0.0,0.165,0.0,0.032,0.0,0.0
249,0.0,0.0,0.032,0.0,0.573,0.001,0.016,0.0,0.0,0.001,0.023,0.179,0.171,0.0,0.001,0.004,0.0
250,0.68,0.0,0.0,0.103,0.002,0.206,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.002,0.0,0.003
251,0.0,0.549,0.0,0.193,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0
252,0.367,0.137,0.001,0.014,0.0,0.004,0.225,0.038,0.0,0.004,0.002,0.006,0.023,0.0,0.001,0.013,0.164
253,0.063,0.0,0.004,0.147,0.584,0.0,0.0,0.0,0.0,0.0,0.115,0.072,0.0,0.01,0.005,0.0,0.0
254,0.0,0.002,0.0,0.755,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.111,0.0,0.0,0.0,0.031,0.003
255,0.006,0.0,0.0,0.591,0.372,0.0,0.0,0.0,0.008,0.0,0.017,0.006,0.0,0.0,0.0,0.0,0.0
256,0.068,0.088,0.049,0.003,0.081,0.0,0.002,0.0,0.0,0.0,0.335,0.028,0.024,0.006,0.0,0.316,0.0
257,0.129,0.0,0.022,0.036,0.036,0.014,0.471,0.001,0.001,0.004,0.245,0.0,0.007,0.002,0.001,0.0,0.033
258,0.185,0.0,0.0,0.017,0.001,0.002,0.0,0.024,0.71,0.011,0.0,0.001,0.016,0.0,0.024,0.01,0.0
259,0.006,0.007,0.0,0.208,0.0,0.0,0.0,0.0,0.05,0.004,0.0,0.305,0.0,0.0,0.0,0.018,0.401
260,0.664,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.002,0.036,0.0,0.035,0.07,0.001,0.034,0.0,0.036,0.001,0.0,0.06,0.001,0.004,0.0,0.524,0.195
262,0.001,0.0,0.012,0.002,0.333,0.0,0.0,0.0,0.012,0.0,0.004,0.284,0.0,0.062,0.0,0.0,0.29
263,0.0,0.001,0.0,0.109,0.627,0.012,0.009,0.011,0.012,0.0,0.202,0.014,0.0,0.0,0.003,0.0,0.001
264,0.293,0.0,0.0,0.175,0.0,0.0,0.083,0.0,0.0,0.006,0.002,0.0,0.005,0.0,0.0,0.019,0.419
265,0.0,0.001,0.0,0.007,0.0,0.0,0.573,0.0,0.383,0.0,0.019,0.017,0.0,0.0,0.0,0.0,0.0
266,0.171,0.552,0.0,0.001,0.002,0.001,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.046,0.0,0.005,0.0
267,0.094,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,0.0
268,0.011,0.078,0.0,0.158,0.002,0.0,0.014,0.005,0.088,0.002,0.008,0.553,0.0,0.001,0.008,0.042,0.029
269,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.047,0.0,0.0,0.0,0.793,0.0,0.043,0.0,0.0,0.0
270,0.033,0.101,0.0,0.057,0.042,0.015,0.006,0.0,0.093,0.0,0.022,0.372,0.007,0.069,0.007,0.0,0.176
271,0.005,0.0,0.0,0.109,0.0,0.027,0.0,0.0,0.794,0.0,0.0,0.0,0.054,0.0,0.0,0.01,0.001
272,0.039,0.0,0.0,0.011,0.0,0.009,0.153,0.0,0.0,0.004,0.0,0.0,0.142,0.0,0.001,0.459,0.182
273,0.0,0.004,0.0,0.0,0.001,0.001,0.0,0.0,0.396,0.0,0.0,0.006,0.0,0.0,0.023,0.569,0.0
274,0.152,0.572,0.002,0.001,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.001,0.0,0.0
275,0.489,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.426,0.0,0.0,0.042,0.0,0.0
276,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.008,0.005,0.0,0.0,0.002,0.001,0.0
277,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.798,0.0,0.0,0.0,0.172,0.026
278,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.978,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.031,0.0,0.013,0.046,0.887,0.0,0.012,0.0,0.0,0.0
280,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.086,0.402,0.0
281,0.311,0.01,0.004,0.257,0.0,0.0,0.038,0.006,0.161,0.0,0.059,0.029,0.088,0.006,0.0,0.0,0.031
282,0.0,0.0,0.0,0.0,0.437,0.01,0.0,0.042,0.041,0.0,0.059,0.0,0.001,0.0,0.018,0.007,0.385
283,0.641,0.0,0.0,0.0,0.069,0.0,0.0,0.029,0.001,0.024,0.236,0.0,0.0,0.0,0.0,0.0,0.001
284,0.001,0.461,0.003,0.0,0.04,0.0,0.24,0.049,0.001,0.0,0.0,0.0,0.011,0.0,0.001,0.029,0.166
285,0.486,0.0,0.0,0.007,0.406,0.0,0.0,0.017,0.0,0.0,0.0,0.005,0.061,0.0,0.0,0.017,0.0
286,0.0,0.0,0.021,0.794,0.005,0.0,0.075,0.0,0.0,0.0,0.001,0.009,0.002,0.0,0.0,0.014,0.08
287,0.052,0.544,0.0,0.001,0.0,0.015,0.001,0.0,0.002,0.0,0.024,0.0,0.0,0.0,0.007,0.243,0.111
288,0.0,0.132,0.058,0.0,0.095,0.002,0.013,0.001,0.0,0.009,0.024,0.049,0.01,0.031,0.001,0.576,0.0
289,0.0,0.0,0.001,0.015,0.227,0.0,0.122,0.0,0.0,0.006,0.0,0.061,0.0,0.043,0.0,0.232,0.294
290,0.021,0.007,0.0,0.66,0.0,0.186,0.006,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.098,0.017,0.0
291,0.0,0.0,0.003,0.0,0.0,0.003,0.002,0.0,0.0,0.004,0.0,0.989,0.0,0.0,0.0,0.0,0.0
292,0.001,0.0,0.04,0.0,0.0,0.0,0.954,0.002,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
293,0.0,0.0,0.004,0.089,0.029,0.004,0.036,0.0,0.0,0.0,0.0,0.591,0.0,0.117,0.003,0.063,0.063
294,0.0,0.0,0.0,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.107,0.0
295,0.429,0.004,0.034,0.091,0.002,0.0,0.148,0.023,0.111,0.0,0.035,0.0,0.067,0.01,0.0,0.047,0.0
296,0.185,0.0,0.0,0.709,0.0,0.023,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.011,0.0,0.0,0.066
297,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.055,0.002,0.081,0.0,0.0,0.0,0.035,0.188,0.499
298,0.0,0.002,0.003,0.045,0.023,0.117,0.654,0.012,0.006,0.0,0.001,0.0,0.003,0.006,0.031,0.0,0.096
299,0.0,0.007,0.014,0.113,0.007,0.002,0.563,0.013,0.109,0.0,0.0,0.012,0.0,0.083,0.0,0.001,0.076
300,0.904,0.0,0.0,0.084,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.001
301,0.154,0.026,0.0,0.003,0.002,0.001,0.106,0.006,0.085,0.001,0.361,0.02,0.162,0.001,0.038,0.031,0.004
302,0.013,0.0,0.0,0.022,0.384,0.0,0.0,0.0,0.108,0.0,0.26,0.074,0.0,0.083,0.0,0.0,0.055
303,0.752,0.165,0.047,0.03,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,0.289,0.0,0.001,0.116,0.07,0.0,0.019,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503
305,0.0,0.432,0.0,0.0,0.549,0.0,0.002,0.0,0.0,0.0,0.003,0.0,0.0,0.011,0.0,0.0,0.003
306,0.079,0.03,0.009,0.152,0.612,0.0,0.0,0.017,0.027,0.0,0.052,0.0,0.001,0.001,0.0,0.018,0.0
307,0.55,0.0,0.008,0.388,0.021,0.0,0.01,0.0,0.0,0.0,0.021,0.0,0.002,0.0,0.0,0.0,0.0
308,0.082,0.029,0.006,0.01,0.345,0.235,0.0,0.021,0.028,0.0,0.0,0.119,0.006,0.041,0.0,0.045,0.032
309,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.563,0.018,0.0,0.0,0.0,0.0
310,0.191,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.241,0.0,0.241,0.059,0.0,0.0,0.0,0.181,0.0
311,0.105,0.076,0.001,0.505,0.006,0.004,0.007,0.0,0.053,0.006,0.144,0.03,0.001,0.003,0.026,0.017,0.016
312,0.014,0.007,0.002,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.019,0.808,0.0,0.0,0.0,0.003,0.141
313,0.504,0.0,0.002,0.022,0.365,0.0,0.004,0.0,0.0,0.0,0.101,0.002,0.0,0.0,0.0,0.0,0.0
314,0.006,0.0,0.0,0.013,0.001,0.017,0.1,0.0,0.007,0.002,0.0,0.036,0.003,0.0,0.0,0.424,0.391
315,0.0,0.0,0.0,0.694,0.149,0.117,0.0,0.008,0.0,0.002,0.014,0.0,0.003,0.0,0.0,0.012,0.002
316,0.111,0.029,0.019,0.003,0.523,0.0,0.081,0.013,0.041,0.022,0.084,0.002,0.035,0.007,0.019,0.0,0.01
317,0.0,0.049,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.0,0.009,0.225
318,0.74,0.0,0.0,0.007,0.0,0.21,0.0,0.0,0.0,0.003,0.025,0.003,0.0,0.0,0.009,0.003,0.0
319,0.0,0.001,0.0,0.561,0.002,0.0,0.362,0.0,0.002,0.0,0.0,0.058,0.015,0.0,0.0,0.0,0.0
320,0.611,0.0,0.0,0.201,0.001,0.0,0.01,0.046,0.0,0.006,0.059,0.0,0.061,0.0,0.004,0.0,0.0
321,0.62,0.004,0.04,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.045,0.114,0.0,0.0,0.006,0.0,0.163
322,0.0,0.008,0.0,0.0,0.0,0.0,0.581,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.161,0.25
323,0.0,0.327,0.0,0.048,0.113,0.111,0.006,0.0,0.05,0.0,0.002,0.114,0.172,0.0,0.0,0.0,0.057
324,0.0,0.001,0.001,0.0,0.0,0.148,0.166,0.0,0.232,0.0,0.198,0.224,0.0,0.0,0.001,0.03,0.0
325,0.0,0.012,0.0,0.234,0.602,0.0,0.005,0.0,0.001,0.001,0.003,0.002,0.124,0.0,0.015,0.0,0.0
326,0.0,0.032,0.001,0.026,0.0,0.0,0.0,0.0,0.779,0.0,0.0,0.0,0.081,0.0,0.081,0.0,0.0
327,0.09,0.18,0.0,0.298,0.096,0.0,0.0,0.009,0.0,0.0,0.063,0.0,0.016,0.05,0.0,0.198,0.0
328,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,0.0,0.01,0.043,0.008,0.44,0.0,0.0,0.0,0.0,0.003,0.0,0.489,0.001,0.005,0.001,0.0,0.0
330,0.003,0.035,0.0,0.0,0.002,0.009,0.003,0.0,0.003,0.001,0.063,0.665,0.042,0.031,0.0,0.0,0.144
331,0.002,0.025,0.0,0.226,0.053,0.001,0.024,0.0,0.0,0.0,0.024,0.001,0.092,0.0,0.003,0.0,0.549
332,0.0,0.435,0.0,0.12,0.205,0.0,0.001,0.032,0.043,0.0,0.002,0.0,0.0,0.0,0.105,0.001,0.057
333,0.188,0.012,0.007,0.741,0.003,0.01,0.003,0.0,0.003,0.0,0.002,0.002,0.019,0.006,0.0,0.002,0.001
334,0.061,0.0,0.0,0.328,0.003,0.013,0.0,0.0,0.589,0.0,0.0,0.002,0.0,0.0,0.004,0.0,0.0
335,0.005,0.801,0.0,0.0,0.001,0.0,0.0,0.0,0.091,0.0,0.001,0.0,0.008,0.094,0.0,0.0,0.0
336,0.0,0.013,0.006,0.746,0.0,0.0,0.214,0.0,0.001,0.0,0.0,0.019,0.0,0.001,0.0,0.0,0.0
337,0.0,0.0,0.026,0.0,0.0,0.0,0.001,0.006,0.103,0.0,0.0,0.863,0.0,0.0,0.0,0.0,0.001
338,0.004,0.335,0.0,0.005,0.3,0.0,0.076,0.0,0.019,0.0,0.001,0.03,0.0,0.0,0.006,0.001,0.223
339,0.32,0.002,0.0,0.004,0.0,0.001,0.05,0.0,0.0,0.024,0.012,0.009,0.04,0.007,0.0,0.532,0.0
340,0.001,0.135,0.002,0.044,0.025,0.011,0.0,0.0,0.008,0.006,0.0,0.134,0.078,0.0,0.001,0.515,0.04
341,0.0,0.689,0.01,0.028,0.0,0.001,0.112,0.029,0.001,0.0,0.0,0.0,0.0,0.013,0.116,0.0,0.0
342,0.009,0.078,0.001,0.0,0.0,0.004,0.001,0.04,0.0,0.0,0.0,0.773,0.0,0.0,0.0,0.0,0.093
343,0.029,0.213,0.0,0.255,0.006,0.0,0.367,0.001,0.017,0.0,0.019,0.0,0.011,0.013,0.005,0.007,0.058
344,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.019,0.003,0.0,0.0,0.192,0.0,0.0,0.001,0.0,0.0
345,0.104,0.0,0.0,0.002,0.0,0.0,0.007,0.021,0.552,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.312
346,0.086,0.0,0.001,0.002,0.005,0.022,0.02,0.047,0.12,0.0,0.0,0.349,0.066,0.01,0.021,0.039,0.212
347,0.0,0.0,0.0,0.041,0.0,0.003,0.0,0.0,0.954,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,0.0,0.627,0.0,0.001,0.0,0.0,0.0,0.0,0.296,0.0,0.001,0.0,0.003,0.0,0.072,0.0,0.0
349,0.029,0.104,0.0,0.225,0.275,0.069,0.058,0.003,0.008,0.026,0.0,0.037,0.148,0.006,0.003,0.01,0.0
350,0.013,0.027,0.0,0.0,0.061,0.005,0.159,0.0,0.449,0.01,0.005,0.015,0.075,0.065,0.0,0.115,0.003
351,0.495,0.096,0.0,0.0,0.007,0.0,0.013,0.0,0.258,0.016,0.0,0.001,0.035,0.013,0.015,0.04,0.012
352,0.0,0.009,0.03,0.0,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.293,0.148
353,0.004,0.001,0.001,0.056,0.002,0.002,0.204,0.001,0.016,0.001,0.043,0.002,0.115,0.013,0.05,0.109,0.38
354,0.048,0.023,0.034,0.106,0.019,0.0,0.01,0.007,0.076,0.011,0.223,0.027,0.007,0.029,0.011,0.073,0.296
355,0.011,0.0,0.0,0.0,0.0,0.222,0.227,0.0,0.0,0.0,0.025,0.0,0.0,0.003,0.024,0.451,0.038
356,0.147,0.0,0.004,0.003,0.017,0.022,0.025,0.0,0.471,0.001,0.022,0.024,0.135,0.046,0.0,0.0,0.084
357,0.266,0.31,0.001,0.004,0.007,0.214,0.0,0.004,0.005,0.0,0.0,0.09,0.0,0.006,0.0,0.028,0.065
358,0.439,0.002,0.023,0.185,0.125,0.0,0.0,0.0,0.08,0.0,0.002,0.003,0.0,0.016,0.111,0.009,0.004
359,0.121,0.315,0.001,0.0,0.215,0.0,0.006,0.0,0.042,0.0,0.013,0.0,0.019,0.0,0.009,0.0,0.259
360,0.014,0.0,0.0,0.0,0.0,0.007,0.429,0.0,0.0,0.015,0.288,0.0,0.0,0.001,0.009,0.234,0.004
361,0.0,0.0,0.0,0.05,0.03,0.0,0.834,0.055,0.001,0.0,0.0,0.027,0.001,0.001,0.0,0.0,0.001
362,0.005,0.0,0.0,0.015,0.0,0.0,0.927,0.0,0.002,0.018,0.002,0.0,0.013,0.0,0.015,0.0,0.002
363,0.198,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.219,0.0,0.141,0.041,0.051,0.023,0.003,0.174,0.025
364,0.001,0.0,0.015,0.157,0.647,0.0,0.0,0.015,0.014,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.046
365,0.0,0.0,0.009,0.016,0.023,0.039,0.13,0.047,0.011,0.022,0.0,0.518,0.16,0.001,0.001,0.0,0.023
366,0.003,0.001,0.021,0.004,0.002,0.005,0.564,0.002,0.344,0.0,0.0,0.022,0.0,0.0,0.031,0.0,0.0
367,0.0,0.054,0.0,0.131,0.021,0.153,0.05,0.035,0.141,0.003,0.223,0.001,0.014,0.0,0.0,0.131,0.042
368,0.023,0.071,0.0,0.019,0.208,0.003,0.0,0.01,0.164,0.001,0.242,0.001,0.076,0.001,0.042,0.0,0.14
369,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.001,0.0,0.0,0.0,0.276,0.0,0.0,0.092,0.0,0.192
370,0.537,0.331,0.0,0.003,0.003,0.007,0.0,0.034,0.0,0.0,0.028,0.0,0.003,0.0,0.053,0.0,0.0
371,0.184,0.0,0.0,0.161,0.008,0.187,0.002,0.011,0.0,0.0,0.0,0.0,0.137,0.091,0.0,0.147,0.072
372,0.017,0.0,0.0,0.863,0.035,0.002,0.079,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
373,0.0,0.0,0.007,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.253,0.0,0.053,0.0,0.415,0.269
374,0.0,0.036,0.004,0.0,0.021,0.0,0.324,0.0,0.17,0.003,0.0,0.025,0.0,0.023,0.049,0.013,0.331
375,0.076,0.002,0.01,0.209,0.0,0.0,0.316,0.0,0.136,0.0,0.01,0.004,0.0,0.0,0.001,0.001,0.235
376,0.116,0.004,0.0,0.0,0.008,0.004,0.0,0.016,0.0,0.001,0.0,0.383,0.0,0.003,0.0,0.0,0.465
377,0.041,0.001,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.373,0.003,0.025,0.0,0.0,0.528
378,0.006,0.0,0.0,0.0,0.0,0.0,0.977,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.013
379,0.128,0.0,0.002,0.113,0.01,0.054,0.092,0.0,0.215,0.015,0.003,0.049,0.002,0.054,0.004,0.239,0.019
380,0.0,0.587,0.004,0.0,0.0,0.001,0.029,0.01,0.0,0.001,0.269,0.0,0.078,0.0,0.021,0.0,0.0
381,0.043,0.134,0.044,0.002,0.001,0.009,0.324,0.027,0.188,0.0,0.001,0.059,0.0,0.031,0.072,0.002,0.061
382,0.0,0.28,0.0,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.003,0.0,0.0
383,0.0,0.0,0.0,0.0,0.0,0.012,0.858,0.003,0.0,0.0,0.0,0.003,0.003,0.0,0.12,0.0,0.0
384,0.021,0.062,0.058,0.043,0.234,0.01,0.144,0.0,0.0,0.001,0.187,0.001,0.176,0.001,0.062,0.0,0.0
385,0.083,0.0,0.0,0.002,0.004,0.064,0.283,0.0,0.007,0.0,0.0,0.553,0.0,0.001,0.001,0.0,0.001
386,0.0,0.0,0.0,0.449,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544
387,0.0,0.923,0.003,0.001,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.028,0.0,0.014
388,0.0,0.0,0.0,0.125,0.003,0.0,0.0,0.0,0.812,0.0,0.026,0.019,0.0,0.005,0.0,0.0,0.01
389,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
